"StichtagDatJahr","KreisSort","KreisCd","KreisLang","SteuerTarifSort","SteuerTarifCd","SteuerTarifLang","SteuerVermoegen_p50","SteuerVermoegen_p25","SteuerVermoegen_p75"
2009,1,"1","Kreis 1",2,"02","Einelternfamilientarif",75,9,240
2009,2,"2","Kreis 2",0,"00","Grundtarif",40,3,197
2009,2,"2","Kreis 2",1,"01","Verheiratetentarif",183,29,557
2009,2,"2","Kreis 2",2,"02","Einelternfamilientarif",20.5,0,108
2009,3,"3","Kreis 3",0,"00","Grundtarif",22,0,106
2009,3,"3","Kreis 3",1,"01","Verheiratetentarif",61,0,250
2009,3,"3","Kreis 3",2,"02","Einelternfamilientarif",6,0,62
2009,4,"4","Kreis 4",0,"00","Grundtarif",10,0,64
2009,4,"4","Kreis 4",1,"01","Verheiratetentarif",6,0,105
2009,4,"4","Kreis 4",2,"02","Einelternfamilientarif",1,0,37
2009,5,"5","Kreis 5",0,"00","Grundtarif",19,0,94
2009,5,"5","Kreis 5",1,"01","Verheiratetentarif",39,0,221
2009,5,"5","Kreis 5",2,"02","Einelternfamilientarif",27,0,93
2009,6,"6","Kreis 6",0,"00","Grundtarif",44,5,187
2009,6,"6","Kreis 6",1,"01","Verheiratetentarif",195,41,623.5
2009,6,"6","Kreis 6",2,"02","Einelternfamilientarif",34.5,0,143
2009,7,"7","Kreis 7",0,"00","Grundtarif",69,8,337
